Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/275,6.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/276,8.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/277,8.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/278,12.0,0,3,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/279,3.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/280,17.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/281,12.0,0,0,0,3.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/282,59.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/283,74.0,0,1,0,36.0,35.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/284,17.0,0,0,0,4.0,6.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/285,14.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/286,17.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/287,4.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/288,14.0,0,0,0,4.0,7.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/289,25.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/290,5.0,0,1,0,1.0,0.0
