Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/127,15.0,0,3,0,4.0,4.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/128,30.0,0,2,0,3.0,6.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/129,19.0,0,0,0,5.0,5.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/130,10.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/131,10.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/132,16.0,0,2,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/133,19.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/134,15.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/135,13.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/136,18.0,0,4,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/137,10.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/138,12.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/139,11.0,0,0,0,5.0,3.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/140,13.0,0,0,0,4.0,3.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/141,15.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/142,17.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/143,17.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/144,16.0,0,0,0,3.0,6.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/145,12.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/146,13.0,0,0,0,2.0,3.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/147,21.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/148,6.0,0,0,0,1.0,0.0
